"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: calc","Param: dimension","Param: vectorsCount"
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,85.461740,6.720944,"us/op",NativeJni,768,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,187.256805,9.433549,"us/op",NativeJni,768,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,1.727386,0.033231,"us/op",NativePanama,256,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,4.590509,0.159438,"us/op",NativePanama,256,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,8.879877,0.107534,"us/op",NativePanama,256,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,2.437726,0.051193,"us/op",NativePanama,384,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,7.540031,1.518717,"us/op",NativePanama,384,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,12.953352,0.630201,"us/op",NativePanama,384,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,4.117081,0.043573,"us/op",NativePanama,768,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,12.445875,0.115495,"us/op",NativePanama,768,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,22.310098,0.440739,"us/op",NativePanama,768,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,1.424149,0.007356,"us/op",PlainJava,256,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,3.472138,0.127869,"us/op",PlainJava,256,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,8.188127,0.539945,"us/op",PlainJava,256,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,1.924393,0.042994,"us/op",PlainJava,384,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,5.566074,0.140406,"us/op",PlainJava,384,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,9.782697,0.247904,"us/op",PlainJava,384,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,3.497855,0.050044,"us/op",PlainJava,768,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,9.395813,0.903896,"us/op",PlainJava,768,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,19.385868,0.310302,"us/op",PlainJava,768,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,1.252507,0.111396,"us/op",VectorApi,256,100
